date,country,location,number,description,line
09/08/2016,Syria,Dayz Az Zawr,1,strike destroyed four ISIL oil tanker trucks.,"- Near Dayz Az Zawr, one strike destroyed four ISIL oil tanker trucks."
09/08/2016,Syria,Mar’a,1,strike destroyed an ISIL VBIED.,"- Near Mar’a, one strike destroyed an ISIL VBIED."
09/08/2016,Iraq,Albu Hayat,1,strike engaged an ISIL tactical unit and destroyed two bunkers and two vehicles.,"- Near Albu Hayat, one strike engaged an ISIL tactical unit and destroyed two bunkers and two vehicles."
09/08/2016,Iraq,Haditha,1,strike engaged an ISIL tactical unit and destroyed a building,"- Near Haditha, one strike engaged an ISIL tactical unit and destroyed a building"
09/08/2016,Iraq,Mosul,2,strikes engaged an ISIL financial center and destroyed a weapons storage facility.,"- Near Mosul, two strikes engaged an ISIL financial center and destroyed a weapons storage facility."
09/08/2016,Iraq,Qayyarah,1,"strike engaged an ISIL tactical unit and destroyed a vehicle, 12 rocket rails, four rocket systems, and an assembly area.","- Near Qayyarah, one strike engaged an ISIL tactical unit and destroyed a vehicle, 12 rocket rails, four rocket systems, and an assembly area."
09/08/2016,Iraq,Ramadi,1,strike engaged an ISIL tactical unit.,"- Near Ramadi, one strike engaged an ISIL tactical unit."
09/08/2016,Iraq,Sinjar,1,strike destroyed an ISIL tunnel entrance and suppressed a mortar position.,"- Near Sinjar, one strike destroyed an ISIL tunnel entrance and suppressed a mortar position."
09/07/2016,Syria,Abu Kamal,1,strike destroyed five ISIL oil tanker trucks.,"- Near Abu Kamal, one strike destroyed five ISIL oil tanker trucks."
09/07/2016,Syria,Ar Raqqah,1,strike destroyed two ISIL oil tanker trucks.,"- Near Ar Raqqah, one strike destroyed two ISIL oil tanker trucks."
09/07/2016,Syria,Manbij,1,strike engaged an ISIL tactical unit and destroyed three fighting positions.,"- Near Manbij, one strike engaged an ISIL tactical unit and destroyed three fighting positions."
09/07/2016,Syria,Mar’a,2,strikes engaged two ISIL tactical units and destroyed three fighting positions and a mortar system.,"- Near Mar’a, two strikes engaged two ISIL tactical units and destroyed three fighting positions and a mortar system."
09/07/2016,Iraq,Albu Hayat,1,"strike engaged an ISIL tactical unit and destroyed a rocket cache, two buildings, and three bunkers.","- Near Albu Hayat, one strike engaged an ISIL tactical unit and destroyed a rocket cache, two buildings, and three bunkers."
09/07/2016,Iraq,Hit,1,strike engaged an ISIL tactical unit and destroyed a vehicle and a building.,"- Near Hit, one strike engaged an ISIL tactical unit and destroyed a vehicle and a building."
09/07/2016,Iraq,Kisik,1,"strike engaged an ISIL tactical unit and destroyed a tunnel entrance, a vehicle, and three heavy machine guns.","- Near Kisik, one strike engaged an ISIL tactical unit and destroyed a tunnel entrance, a vehicle, and three heavy machine guns."
09/07/2016,Iraq,Mosul,6,"strikes engaged an ISIL tactical unit and destroyed five vehicles, two dozers, a front-end loader, an excavator, inoperable coalition equipment, and damaged a tunnel.","- Near Mosul, six strikes engaged an ISIL tactical unit and destroyed five vehicles, two dozers, a front-end loader, an excavator, inoperable coalition equipment, and damaged a tunnel."
09/07/2016,Iraq,Qayyarah,2,"strikes engaged an ISIL tactical unit and destroyed three vehicles, two dozers, and eight rocket rails.","- Near Qayyarah, two strikes engaged an ISIL tactical unit and destroyed three vehicles, two dozers, and eight rocket rails."
09/07/2016,Iraq,Ramadi,1,"strike engaged an ISIL tactical unit and destroyed a vehicle, a building, and a mortar system.","- Near Ramadi, one strike engaged an ISIL tactical unit and destroyed a vehicle, a building, and a mortar system."
09/06/2016,Syria,Ar Raqqah,2,"strikes destroyed two ISIL oil pump jacks, an oil tank, and a headquarters building.","- Near Ar Raqqah, two strikes destroyed two ISIL oil pump jacks, an oil tank, and a headquarters building."
09/06/2016,Syria,Dayr Az Zawr,3,strikes destroyed 13 ISIL oil tanker trucks and a tractor trailer.,"- Near Dayr Az Zawr, three strikes destroyed 13 ISIL oil tanker trucks and a tractor trailer."
09/06/2016,Syria,Manbij,2,strikes engaged an ISIL tactical unit and destroyed a fighting position.,"- Near Manbij, two strikes engaged an ISIL tactical unit and destroyed a fighting position."
09/06/2016,Iraq,Bayji,1,strike destroyed an ISIL rocket rail and a cave entrance.,"- Near Bayji, one strike destroyed an ISIL rocket rail and a cave entrance."
09/06/2016,Iraq,Kisik,1,"strike destroyed two ISIL fighting positions, two tunnel entrances, an observation post, and a rocket firing position.","- Near Kisik, one strike destroyed two ISIL fighting positions, two tunnel entrances, an observation post, and a rocket firing position."
09/06/2016,Iraq,Mosul,4,"strikes engaged three ISIL tactical units and destroyed an assembly area, a fighting position, a vehicle, and a headquarters 	building.","- Near Mosul, four strikes engaged three ISIL tactical units and destroyed an assembly area, a fighting position, a vehicle, and a headquarters 	building."
09/06/2016,Iraq,Ramadi,1,strike destroyed a rocket system.,"- Near Ramadi, one strike destroyed a rocket system."
09/05/2016,Syria,Ar Raqqah,6,"strikes destroyed eight ISIL trailers, three oil pump jacks, and 42 oil tanker trucks.","- Near Ar Raqqah, six strikes destroyed eight ISIL trailers, three oil pump jacks, and 42 oil tanker trucks."
09/05/2016,Syria,Manbij,2,strikes engaged two ISIL tactical units and destroyed two vehicles and a fighting position.,"- Near Manbij, two strikes engaged two ISIL tactical units and destroyed two vehicles and a fighting position."
09/05/2016,Syria,Mar’a,1,strike destroyed an ISIL mortar system.,"- Near Mar’a, one strike destroyed an ISIL mortar system."
09/05/2016,Iraq,Al Baghdadi,1,strike destroyed two ISIL communication towers.,"- Near Al Baghdadi, one strike destroyed two ISIL communication towers."
09/05/2016,Iraq,Ramadi,1,strike engaged an ISIL tactical unit and destroyed a vehicle.,"- Near Ramadi, one strike engaged an ISIL tactical unit and destroyed a vehicle."
09/05/2016,Iraq,Sultan Abdallah,1,"strike engaged an ISIL tactical unit and destroyed an assembly area, a fighting position, and two vehicles.","- Near Sultan Abdallah, one strike engaged an ISIL tactical unit and destroyed an assembly area, a fighting position, and two vehicles."
09/02/2016,Syria,Ar Raqqah,2,strikes damaged an ISIL weapons cache and destroyed another weapons cache.,"- Near Ar Raqqah, two strikes damaged an ISIL weapons cache and destroyed another weapons cache."
09/02/2016,Syria,Mar’a,3,"strikes engaged three ISIL tactical units, and destroyed seven fighting positions and a weapons cache.","- Near Mar’a, three strikes engaged three ISIL tactical units, and destroyed seven fighting positions and a weapons cache."
09/02/2016,Iraq,Albu Hayat,1,strike engaged an ISIL tactical unit and destroyed a communications antenna.,"- Near Albu Hayat, one strike engaged an ISIL tactical unit and destroyed a communications antenna."
09/02/2016,Iraq,Ar Rutbah,1,strike engaged an ISIL tactical unit.,"- Near Ar Rutbah, one strike engaged an ISIL tactical unit."
09/02/2016,Iraq,Haditha,1,strike engaged an ISIL tactical unit and destroyed a building.,"- Near Haditha, one strike engaged an ISIL tactical unit and destroyed a building."
09/02/2016,Iraq,Hit,1,"strike engaged an ISIL tactical unit, and destroyed a building and a bunker.","- Near Hit, one strike engaged an ISIL tactical unit, and destroyed a building and a bunker."
09/02/2016,Iraq,Kisik,1,strike damaged two ISIL tunnels.,"- Near Kisik, one strike damaged two ISIL tunnels."
09/02/2016,Iraq,Qayyarah,1,strike destroyed two ISIL weapons caches.,"- Near Qayyarah, one strike destroyed two ISIL weapons caches."
09/02/2016,Iraq,Ramadi,1,strike destroyed an ISIL mortar tube and a vehicle.,"- Near Ramadi, one strike destroyed an ISIL mortar tube and a vehicle."
09/02/2016,Iraq,Sinjar,1,strike destroyed an ISIL security headquarters building.,"- Near Sinjar, one strike destroyed an ISIL security headquarters building."
09/02/2016,Iraq,Tal Afar,1,strike engaged an ISIL tactical unit and destroyed a vehicle.,"- Near Tal Afar, one strike engaged an ISIL tactical unit and destroyed a vehicle."
09/01/2016,Syria,Abu Kamal,3,strikes destroyed four ISIL tanker trucks and a pump jack.,"- Near Abu Kamal, three strikes destroyed four ISIL tanker trucks and a pump jack."
09/01/2016,Syria,Ar Raqqah,3,"strikes engaged an ISIL vehicle-borne improvised explosive device facility, and destroyed three oil tanker trucks, a tank, and two tactical vehicles.","- Near Ar Raqqah, three strikes engaged an ISIL vehicle-borne improvised explosive device facility, and destroyed three oil tanker trucks, a tank, and two tactical vehicles."
09/01/2016,Syria,Dayr Az Zawr,1,strike destroyed an ISIL pump jack.,"- Near Dayr Az Zawr, one strike destroyed an ISIL pump jack."
09/01/2016,Syria,Mar’a,1,strike destroyed an ISIL fighting position and a mortar system.,"- Near Mar’a, one strike destroyed an ISIL fighting position and a mortar system."
09/01/2016,Iraq,Al Baghdadi,1,strike engaged an ISIL tactical unit and destroyed a building.,"- Near Al Baghdadi, one strike engaged an ISIL tactical unit and destroyed a building."
09/01/2016,Iraq,Bayji,1,strike damaged an ISIL mortar system.,"- Near Bayji, one strike damaged an ISIL mortar system."
09/01/2016,Iraq,Haditha,1,strike engaged an ISIL tactical unit and destroyed a building.,"- Near Haditha, one strike engaged an ISIL tactical unit and destroyed a building."
09/01/2016,Iraq,Hit,1,strike destroyed an ISIL bunker.,"- Near Hit, one strike destroyed an ISIL bunker."
09/01/2016,Iraq,Kisik,1,"strike engaged an ISIL tactical unit, and destroyed three fighting positions and a weapons cache.","- Near Kisik, one strike engaged an ISIL tactical unit, and destroyed three fighting positions and a weapons cache."
09/01/2016,Iraq,Mosul,2,"strikes engaged two ISIL tactical units, and destroyed a tunnel and two assembly areas.","- Near Mosul, two strikes engaged two ISIL tactical units, and destroyed a tunnel and two assembly areas."
09/01/2016,Iraq,Ramadi,1,"strike engaged an ISIL tactical unit, and destroyed a building and a mortar system.","- Near Ramadi, one strike engaged an ISIL tactical unit, and destroyed a building and a mortar system."
08/31/2016,Syria,Ar Raqqah,1,"strike destroyed two ISIL tanks, an ammunitions cache, and a tactical vehicle.","- Near Ar Raqqah, one strike destroyed two ISIL tanks, an ammunitions cache, and a tactical vehicle."
08/31/2016,Syria,Manbij,6,"strikes engaged four separate ISIL tactical units, and destroyed five fighting positions, a vehicle, a weapons cache, and 	two vehicle-borne improvised explosive devices.","- Near Manbij, six strikes engaged four separate ISIL tactical units, and destroyed five fighting positions, a vehicle, a weapons cache, and 	two vehicle-borne improvised explosive devices."
08/31/2016,Syria,Washiyah,1,"strike engaged an ISIL tactical unit, and destroyed a vehicle.","- Near Washiyah, one strike engaged an ISIL tactical unit, and destroyed a vehicle."
08/31/2016,Iraq,Al Baghdadi,1,strike produced inconclusive results.,"- Near Al Baghdadi, one strike produced inconclusive results."
08/31/2016,Iraq,Albu Hayat,1,strike destroyed an ISIL vehicle.,"- Near Albu Hayat, one strike destroyed an ISIL vehicle."
08/31/2016,Iraq,Bashir,1,strike suppressed an ISIL tactical unit.,"- Near Bashir, one strike suppressed an ISIL tactical unit."
08/31/2016,Iraq,Haditha,1,"strike engaged an ISIL tactical unit, and destroyed another fighting position.","- Near Haditha, one strike engaged an ISIL tactical unit, and destroyed another fighting position."
08/31/2016,Iraq,Hit,4,"strikes engaged an ISIL VBIED factory, a barracks, a headquarters building, and destroyed three fighting positions.","- Near Hit, four strikes engaged an ISIL VBIED factory, a barracks, a headquarters building, and destroyed three fighting positions."
08/31/2016,Iraq,Kisik,1,"strike destroyed an ISIL mortar system, and suppressed another mortar position.","- Near Kisik, one strike destroyed an ISIL mortar system, and suppressed another mortar position."
08/31/2016,Iraq,Mosul,1,"strike engaged an ISIL tactical unit; destroyed a fighting position, a command and control node, two mortar systems, eight rocket rails, a rocket system, and a tunnel; damaged an excavator; and suppressed a mortar position.","- Near Mosul, one strike engaged an ISIL tactical unit; destroyed a fighting position, a command and control node, two mortar systems, eight rocket rails, a rocket system, and a tunnel; damaged an excavator; and suppressed a mortar position."
08/31/2016,Iraq,Ramadi,2,"strikes engaged two ISIL tactical units; destroyed two fighting positions, two mortar systems, a mortar cache, two vehicles, and an artillery system; and damaged another mortar system.","- Near Ramadi, two strikes engaged two ISIL tactical units; destroyed two fighting positions, two mortar systems, a mortar cache, two vehicles, and an artillery system; and damaged another mortar system."
08/31/2016,Iraq,Rawah,1,strike engaged an ISIL weapons cache.,"- Near Rawah, one strike engaged an ISIL weapons cache."
08/31/2016,Iraq,Sultan Abdallah,1,"strike engaged an ISIL tactical unit, and destroyed a vehicle.","- Near Sultan Abdallah, one strike engaged an ISIL tactical unit, and destroyed a vehicle."
08/30/2016,Syria,Abu Kamal,1,strike destroyed inoperable coalition equipment.,"- Near Abu Kamal, one strike destroyed inoperable coalition equipment."
08/30/2016,Syria,Ar Raqqah,1,strike destroyed an ISIL oil pump jack.,"- Near Ar Raqqah, one strike destroyed an ISIL oil pump jack."
08/30/2016,Syria,Manbij,6,"strikes engaged four separate ISIL tactical units, and destroyed a fighting position, a vehicle, a tank, and two vehicle-borne improvised explosive devices.","- Near Manbij, six strikes engaged four separate ISIL tactical units, and destroyed a fighting position, a vehicle, a tank, and two vehicle-borne improvised explosive devices."
08/30/2016,Syria,Palmyra,1,strike destroyed 10 ISIL weapon cache bunkers.,"- Near Palmyra, one strike destroyed 10 ISIL weapon cache bunkers."
08/30/2016,Iraq,Albu Hayat,1,strike destroyed an ISIL vehicle and a medium machine gun.,"- Near Albu Hayat, one strike destroyed an ISIL vehicle and a medium machine gun."
08/30/2016,Iraq,Mosul,2,"strikes engaged an ISIL tactical unit, and destroyed four rocket rails.","- Near Mosul, two strikes engaged an ISIL tactical unit, and destroyed four rocket rails."
08/30/2016,Iraq,Ramadi,2,"strikes engaged an ISIL tactical unit, and destroyed two fighting positions, a vehicle, a command and control node, and a heavy machine gun.","- Near Ramadi, two strikes engaged an ISIL tactical unit, and destroyed two fighting positions, a vehicle, a command and control node, and a heavy machine gun."
08/30/2016,Iraq,Sultan Abdallah,1,"strike engaged an ISIL tactical unit, and destroyed two fighting positions.","- Near Sultan Abdallah, one strike engaged an ISIL tactical unit, and destroyed two fighting positions."
08/30/2016,Iraq,Tal Afar,1,strike destroyed two ISIL fighting positions and a mortar system.,"- Near Tal Afar, one strike destroyed two ISIL fighting positions and a mortar system."
08/29/2016,Syria,Abu Kamal,1,strike destroyed an ISIL wellhead.,"- Near Abu Kamal, one strike destroyed an ISIL wellhead."
08/29/2016,Syria,Ar Raqqah,1,strike destroyed an ISIL pump jack.,"- Near Ar Raqqah, one strike destroyed an ISIL pump jack."
08/29/2016,Iraq,Al Baghdadi,1,"strike destroyed four ISIL rocket systems, three rocket rails, and a building.","- Near Al Baghdadi, one strike destroyed four ISIL rocket systems, three rocket rails, and a building."
08/29/2016,Iraq,Haditha,1,strike engaged an ISIL tactical unit and destroyed a vehicle.,"- Near Haditha, one strike engaged an ISIL tactical unit and destroyed a vehicle."
08/29/2016,Iraq,Hit,1,strike engaged an ISIL tactical unit.,"- Near Hit, one strike engaged an ISIL tactical unit."
08/29/2016,Iraq,Mosul,2,strikes engaged an ISIL tactical unit and destroyed three tanker trucks.,"- Near Mosul, two strikes engaged an ISIL tactical unit and destroyed three tanker trucks."
08/29/2016,Iraq,Qayyarah,1,strike engaged an ISIL staging area.,"- Near Qayyarah, one strike engaged an ISIL staging area."
08/29/2016,Iraq,Ramadi,1,strike destroyed an ISIL mortar system.,"- Near Ramadi, one strike destroyed an ISIL mortar system."
08/29/2016,Iraq,Sultan Abdallah,5,"strikes engaged two ISIL headquarters building and a barracks, and destroyed two rocket systems, four rocket rails, a tunnel entrance, and 11 vehicle-borne improvised explosive device factories.","- Near Sultan Abdallah, five strikes engaged two ISIL headquarters building and a barracks, and destroyed two rocket systems, four rocket rails, a tunnel entrance, and 11 vehicle-borne improvised explosive device factories."
08/29/2016,Iraq,Tal Afar,1,"strike destroyed an ISIL fighting position, a mortar system, two weapons caches, and damaged three tunnel entrances.","- Near Tal Afar, one strike destroyed an ISIL fighting position, a mortar system, two weapons caches, and damaged three tunnel entrances."
08/28/2016,Syria,Abu Kamal,1,strike destroyed two ISIL pump jacks.,"- Near Abu Kamal, one strike destroyed two ISIL pump jacks."
08/28/2016,Syria,Al Shadaddi,1,strike destroyed an ISIL fighting position.,"- Near Al Shadaddi, one strike destroyed an ISIL fighting position."
08/28/2016,Syria,Ar Raqqah,1,strike destroyed two ISIL pump jacks.,"- Near Ar Raqqah, one strike destroyed two ISIL pump jacks."
08/28/2016,Syria,Dayr Az Zawr,1,strike destroyed five ISIL tanker trucks.,"- Near Dayr Az Zawr, one strike destroyed five ISIL tanker trucks."
08/28/2016,Syria,Manbij,2,"strikes engaged two separate ISIL tactical units, and destroyed a bed down location and a vehicle.","- Near Manbij, two strikes engaged two separate ISIL tactical units, and destroyed a bed down location and a vehicle."
08/28/2016,Syria,Mar’a,3,"strikes engaged two separate ISIL tactical units, and destroyed two fighting positions and a vehicle.","- Near Mar’a, three strikes engaged two separate ISIL tactical units, and destroyed two fighting positions and a vehicle."
08/28/2016,Iraq,Al Baghdadi,1,"strike engaged an ISIL tactical unit, and destroyed a fighting position and an ammunitions cache.","- Near Al Baghdadi, one strike engaged an ISIL tactical unit, and destroyed a fighting position and an ammunitions cache."
08/28/2016,Iraq,Hit,1,strike destroyed an ISIL vehicle.,"- Near Hit, one strike destroyed an ISIL vehicle."
08/28/2016,Iraq,Mosul,2,"strikes engaged an ISIL tactical unit, and destroyed a vehicle-borne improvised explosive device factory, and a vehicle.","- Near Mosul, two strikes engaged an ISIL tactical unit, and destroyed a vehicle-borne improvised explosive device factory, and a vehicle."
08/28/2016,Iraq,Qayyarah,2,"strikes engaged two separate ISIL tactical units, and destroyed an assembly area, a front-end loader, and denied access to terrain.","- Near Qayyarah, two strikes engaged two separate ISIL tactical units, and destroyed an assembly area, a front-end loader, and denied access to terrain."
08/28/2016,Iraq,Ramadi,1,strike destroyed an ISIL VBIED factory.,"- Near Ramadi, one strike destroyed an ISIL VBIED factory."
08/28/2016,Iraq,Sultan Abdallah,1,"strike destroyed an ISIL fighting position, a vehicle, six rocket systems, seven rocket rails, and suppressed a mortar position and denied access to terrain.","- Near Sultan Abdallah, one strike destroyed an ISIL fighting position, a vehicle, six rocket systems, seven rocket rails, and suppressed a mortar position and denied access to terrain."
08/27/2016,Syria,Manbij,5,strikes engaged four separate ISIL tactical units and destroyed a vehicle-borne improvised explosive device and another vehicle.,"- Near Manbij, five strikes engaged four separate ISIL tactical units and destroyed a vehicle-borne improvised explosive device and another vehicle."
08/27/2016,Syria,Mar’a,2,"strikes engaged two separate ISIL tactical units, destroyed two fighting positions and an artillery system, and damaged another fighting position.","- Near Mar’a, two strikes engaged two separate ISIL tactical units, destroyed two fighting positions and an artillery system, and damaged another fighting position."
08/27/2016,Iraq,Fallujah,1,strike engaged an ISIL tactical unit.,"- Near Fallujah, one strike engaged an ISIL tactical unit."
08/27/2016,Iraq,Hit,1,strike engaged an ISIL tactical unit and destroyed a fighting position.,"- Near Hit, one strike engaged an ISIL tactical unit and destroyed a fighting position."
08/27/2016,Iraq,Kisik,1,strike engaged an ISIL tactical unit and suppressed a mortar position.,"- Near Kisik, one strike engaged an ISIL tactical unit and suppressed a mortar position."
08/27/2016,Iraq,Mosul,1,strike engaged an ISIL communications facility.,"- Near Mosul, one strike engaged an ISIL communications facility."
08/27/2016,Iraq,Qayyarah,3,"strikes engaged an ISIL VBIED factory, a training camp, and a large tactical unit; destroyed two vehicles and an assembly area; and suppressed two tactical units.","- Near Qayyarah, three strikes engaged an ISIL VBIED factory, a training camp, and a large tactical unit; destroyed two vehicles and an assembly area; and suppressed two tactical units."
08/27/2016,Iraq,Ramadi,2,"strikes engaged two separate ISIL tactical units, and destroyed three fighting positions, a vehicle, and a weapons cache.","- Near Ramadi, two strikes engaged two separate ISIL tactical units, and destroyed three fighting positions, a vehicle, and a weapons cache."
08/27/2016,Iraq,Tal Afar,1,strike engaged an ISIL safe house.,"- Near Tal Afar, one strike engaged an ISIL safe house."
08/26/2016,Syria,Al Shadaddi,5,"strikes engaged five separate ISIL tactical units, destroyed five fighting positions, a tactical vehicle, and another vehicle.","- Near Al Shadaddi, five strikes engaged five separate ISIL tactical units, destroyed five fighting positions, a tactical vehicle, and another vehicle."
08/26/2016,Syria,Manbij,4,"strikes engaged four separate ISIL tactical units, destroyed three fighting positions, four vehicles, an artillery system, and a weapons cache.","- Near Manbij, four strikes engaged four separate ISIL tactical units, destroyed three fighting positions, four vehicles, an artillery system, and a weapons cache."
08/26/2016,Iraq,Kisik,1,strike suppressed an ISIL mortar position.,"- Near Kisik, one strike suppressed an ISIL mortar position."
08/26/2016,Iraq,Mosul,1,"strike engaged an ISIL tactical unit, destroyed a fighting position, and suppressed a tactical unit.","- Near Mosul, one strike engaged an ISIL tactical unit, destroyed a fighting position, and suppressed a tactical unit."
08/26/2016,Iraq,Qayyarah,1,strike engaged an ISIL vehicle-borne improvised explosive device factory.,"- Near Qayyarah, one strike engaged an ISIL vehicle-borne improvised explosive device factory."
08/26/2016,Iraq,Ramadi,3,"strikes destroyed an ISIL mortar position, a vehicle, and damaged a fighting position.","- Near Ramadi, three strikes destroyed an ISIL mortar position, a vehicle, and damaged a fighting position."
08/26/2016,Iraq,Sinjar,1,strike suppressed an ISIL rocket position.,"- Near Sinjar, one strike suppressed an ISIL rocket position."
08/26/2016,Iraq,Sultan Abdallah,1,strike engaged an ISIL tactical unit and destroyed a vehicle.,"- Near Sultan Abdallah, one strike engaged an ISIL tactical unit and destroyed a vehicle."
08/25/2016,Syria,Al Shadaddi,3,"strikes struck an ISIL tactical unit, and destroyed a fighting position, a tactical vehicle, and a vehicle-borne improvised explosive device.","- Near Al Shadaddi, three strikes struck an ISIL tactical unit, and destroyed a fighting position, a tactical vehicle, and a vehicle-borne improvised explosive device."
08/25/2016,Syria,Ar Raqqah,1,strike struck two ISIL pump jacks.,"- Near Ar Raqqah, one strike struck two ISIL pump jacks."
08/25/2016,Syria,Dayr Az Zawr,2,strikes struck three ISIL wellheads.,"- Near Dayr Az Zawr, two strikes struck three ISIL wellheads."
08/25/2016,Syria,Manbij,7,"strikes struck six separate ISIL tactical units, destroyed a fighting position, a vehicle, a command and control node, three mortar systems and damaged a mortar system.","- Near Manbij, seven strikes struck six separate ISIL tactical units, destroyed a fighting position, a vehicle, a command and control node, three mortar systems and damaged a mortar system."
08/25/2016,Iraq,Ramadi,1,strike destroyed four rocket systems and four rocket rails.,"- Near Ramadi, one strike destroyed four rocket systems and four rocket rails."
08/24/2016,Syria,Al Shadadi,10,"strikes struck 10 separate ISIL tactical units, and destroyed six fighting positions, a tactical vehicle, three vehicle-borne improvised explosive devices, four mortar positions, an anti-air artillery system and an armored personnel carrier.","- Near Al Shadadi, 10 strikes struck 10 separate ISIL tactical units, and destroyed six fighting positions, a tactical vehicle, three vehicle-borne improvised explosive devices, four mortar positions, an anti-air artillery system and an armored personnel carrier."
08/24/2016,Syria,Ar Raqqah,1,strike struck an ISIL improvised weapons assembly area.,"- Near Ar Raqqah, one strike struck an ISIL improvised weapons assembly area."
08/24/2016,Syria,Dayr Az Zawr,2,"strikes destroyed two ISIL oil tanker trucks, two cranes, three bulldozers, and damaged another bulldozer.","- Near Dayr Az Zawr, two strikes destroyed two ISIL oil tanker trucks, two cranes, three bulldozers, and damaged another bulldozer."
08/24/2016,Syria,Manbij,4,strikes struck three separate ISIL tactical units and destroyed a vehicle.,"- Near Manbij, four strikes struck three separate ISIL tactical units and destroyed a vehicle."
08/24/2016,Iraq,Hit,1,"strike struck an ISIL tactical unit, destroyed a fighting position, and damaged another fighting position.","- Near Hit, one strike struck an ISIL tactical unit, destroyed a fighting position, and damaged another fighting position."
08/24/2016,Iraq,Ramadi,2,"strikes struck an ISIL tactical unit, destroyed a fighting position, and a mortar system.","- Near Ramadi, two strikes struck an ISIL tactical unit, destroyed a fighting position, and a mortar system."
08/24/2016,Iraq,Sinjar,1,strike struck an ISIL tactical unit.,"- Near Sinjar, one strike struck an ISIL tactical unit."
08/23/2016,Syria,Abu Kamal,1,strike struck an ISIL wellhead.,"- Near Abu Kamal, one strike struck an ISIL wellhead."
08/23/2016,Syria,Ar Raqqah,1,"strike destroyed an ISIL workover rig, a pump jack, and an oil tanker truck.","- Near Ar Raqqah, one strike destroyed an ISIL workover rig, a pump jack, and an oil tanker truck."
08/23/2016,Syria,Dayr Az Zawr,2,strikes struck an ISIL wellhead and a staging area.,"- Near Dayr Az Zawr, two strikes struck an ISIL wellhead and a staging area."
08/23/2016,Syria,Manbij,4,"strikes struck four ISIL tactical units, and destroyed a fighting position.","- Near Manbij, four strikes struck four ISIL tactical units, and destroyed a fighting position."
08/23/2016,Iraq,Al Baghdadi,1,strike destroyed an ISIL repeater tower.,"- Near Al Baghdadi, one strike destroyed an ISIL repeater tower."
08/23/2016,Iraq,Haditha,1,"strike struck an ISIL tactical unit, destroyed a fighting position, and damaged a tunnel entrance.","- Near Haditha, one strike struck an ISIL tactical unit, destroyed a fighting position, and damaged a tunnel entrance."
08/23/2016,Iraq,Kisik,1,strike destroyed an ISIL vehicle and a tunnel entrance.,"- Near Kisik, one strike destroyed an ISIL vehicle and a tunnel entrance."
08/23/2016,Iraq,Qayyarah,4,"strikes struck an ISIL training camp, destroyed two rocket rails, a fighting position, two mortar positions, a tunnel entrance, two assembly areas, an anti-air artillery system, six repeater tower generators, a communications tower, suppressed a rocket firing position, two mortar firing positions and denied access to terrain.","- Near Qayyarah, four strikes struck an ISIL training camp, destroyed two rocket rails, a fighting position, two mortar positions, a tunnel entrance, two assembly areas, an anti-air artillery system, six repeater tower generators, a communications tower, suppressed a rocket firing position, two mortar firing positions and denied access to terrain."
08/23/2016,Iraq,Ramadi,1,strike struck an ISIL tactical unit and destroyed a fighting position.,"- Near Ramadi, one strike struck an ISIL tactical unit and destroyed a fighting position."
08/22/2016,Syria,Ar Raqqah,1,strike struck an ISIL weapons facility.,"- Near Ar Raqqah, one strike struck an ISIL weapons facility."
08/22/2016,Syria,Ayn Isa,1,strike struck an ISIL tactical unit and destroyed a fighting position.,"- Near Ayn Isa, one strike struck an ISIL tactical unit and destroyed a fighting position."
08/22/2016,Syria,Dayr Az Zawr,1,strike struck seven ISIL wellheads and a crude oil collection point.,"- Near Dayr Az Zawr, one strike struck seven ISIL wellheads and a crude oil collection point."
08/22/2016,Syria,Manbij,6,"strikes struck five separate ISIL tactical units, destroyed a fighting position, one tactical vehicle, and an anti-air artillery system.","- Near Manbij, six strikes struck five separate ISIL tactical units, destroyed a fighting position, one tactical vehicle, and an anti-air artillery system."
08/22/2016,Syria,Tamakh,1,strike destroyed an ISIL tank.,"- Near Tamakh, one strike destroyed an ISIL tank."
08/22/2016,Iraq,Bashir,1,strike destroyed an ISIL checkpoint.,"- Near Bashir, one strike destroyed an ISIL checkpoint."
08/22/2016,Iraq,Haditha,1,strike struck an ISIL tactical unit and destroyed a fighting position.,"- Near Haditha, one strike struck an ISIL tactical unit and destroyed a fighting position."
08/22/2016,Iraq,Mosul,2,"strikes struck an ISIL tactical unit, destroyed three vehicles and a mortar position.","- Near Mosul, two strikes struck an ISIL tactical unit, destroyed three vehicles and a mortar position."
08/22/2016,Iraq,Qayyarah,1,"strike struck an ISIL tactical unit, destroyed a mortar system, a vehicle, five assembly areas, a supply cache, a front-end loader and denied access to terrain.","- Near Qayyarah, one strike struck an ISIL tactical unit, destroyed a mortar system, a vehicle, five assembly areas, a supply cache, a front-end loader and denied access to terrain."
08/22/2016,Iraq,Ramadi,2,"strikes struck an ISIL tactical unit, a vehicle, a boat and damaged a fighting position.","- Near Ramadi, two strikes struck an ISIL tactical unit, a vehicle, a boat and damaged a fighting position."
08/22/2016,Iraq,Sultan Abdallah,1,strike struck an ISIL security headquarters.,"- Near Sultan Abdallah, one strike struck an ISIL security headquarters."
08/21/2016,Syria,Abu Kamal,1,strike struck three ISIL wellheads and a crude oil collection point.,"- Near Abu Kamal, one strike struck three ISIL wellheads and a crude oil collection point."
