date,country,location,number,description,line
01/20/2015,Syria,Al Hasakah,1,airstrike destroyed an ISIL bunker.,"- Near Al Hasakah, an airstrike destroyed an ISIL bunker."
01/20/2015,Iraq,Al Qaim,2,airstrikes destroyed two ISIL armored vehicles.,"- Near Al Qaim, two airstrikes destroyed two ISIL armored vehicles."
01/20/2015,Iraq,Al Asad,2,airstrikes destroyed two ISIL fighting positions and two ISIL supply caches.,"- Near Al Asad, two airstrikes destroyed two ISIL fighting positions and two ISIL supply caches."
01/20/2015,Iraq,Mosul,2,airstrikes struck two ISIL tactical units and destroyed two ISIL mortar systems.,"- Near Mosul, two airstrikes struck two ISIL tactical units and destroyed two ISIL mortar systems."
01/20/2015,Iraq,Sinjar,1,airstrike struck an ISIL tactical unit and destroyed an ISIL fighting position.,"- Near Sinjar, an airstrike struck an ISIL tactical unit and destroyed an ISIL fighting position."
01/20/2015,Iraq,Kirkuk,1,airstrike struck an ISIL tactical unit.,"- Near Kirkuk, an airstrike struck an ISIL tactical unit."
01/20/2015,Iraq,Ramadi,1,airstrike struck a large ISIL unit and destroyed three ISIL buildings and two ISIL heavy weapons.,"- Near Ramadi, an airstrike struck a large ISIL unit and destroyed three ISIL buildings and two ISIL heavy weapons."
01/19/2015,Syria,Kobani,11,"airstrikes struck two large ISIL units and eight ISIL tactical units and destroyed three ISIL fighting positions, two ISIL staging positions, and an ISIL vehicle.","- Near Kobani, 11 airstrikes struck two large ISIL units and eight ISIL tactical units and destroyed three ISIL fighting positions, two ISIL staging positions, and an ISIL vehicle."
01/19/2015,Syria,Aleppo,1,airstrike struck an ISIL tactical unit.,"- Near Aleppo, an airstrike struck an ISIL tactical unit."
01/19/2015,Syria,Al Hasakah,3,airstrikes struck two ISIL tactical units and an ISIL artillery system.,"- Near Al Hasakah, three airstrikes struck two ISIL tactical units and an ISIL artillery system."
01/19/2015,Iraq,Bayji,3,airstrikes struck two ISIL tactical units and a large ISIL unit and destroyed three ISIL buildings.,"- Near Bayji, three airstrikes struck two ISIL tactical units and a large ISIL unit and destroyed three ISIL buildings."
01/19/2015,Iraq,Ar Rutbah,1,airstrike destroyed an ISIL armored vehicle.,"- Near Ar Rutbah, an airstrike destroyed an ISIL armored vehicle."
01/19/2015,Iraq,Taji,1,airstrike struck an ISIL tactical unit.,"- Near Taji, an airstrike struck an ISIL tactical unit."
01/19/2015,Iraq,Fallujah,1,airstrike struck a large ISIL unit.,"- Near Fallujah, an airstrike struck a large ISIL unit."
01/19/2015,Iraq,Ramadi,2,airstrikes struck an ISIL tactical unit and a large ISIL unit and destroyed an ISIL building.,"- Near Ramadi, two airstrikes struck an ISIL tactical unit and a large ISIL unit and destroyed an ISIL building."
01/19/2015,Iraq,Mosul,2,airstrikes struck an ISIL tactical unit and a large ISIL unit and destroyed two ISL buildings and an ISIL artillery system.,"- Near Mosul, two airstrikes struck an ISIL tactical unit and a large ISIL unit and destroyed two ISL buildings and an ISIL artillery system."
01/19/2015,Iraq,Baghdad,1,airstrike struck an ISIL tactical unit and destroyed an ISIL building.,"- Near Baghdad, an airstrike struck an ISIL tactical unit and destroyed an ISIL building."
